id,category
0,2
1,2
2,3
3,2
4,1
5,1
6,3
7,3
8,0
9,3
10,0
11,2
12,0
13,2
14,3
15,3
16,0
17,1
18,3
19,0
20,0
21,3
22,1
23,3
24,3
25,3
26,1
27,3
28,1
29,0
30,3
31,1
32,3
33,2
34,3
35,1
36,0
37,3
38,1
39,0
40,3
41,0
42,1
43,0
44,3
45,1
46,0
47,0
48,1
49,0
50,3
51,1
52,3
53,1
54,3
55,3
56,1
57,0
58,0
59,3
60,3
61,1
62,0
63,3
64,0
65,3
66,0
67,2
68,3
69,0
70,1
71,1
72,0
73,3
74,0
75,0
76,3
77,3
78,3
79,0
80,3
81,0
82,1
83,0
84,0
85,2
86,3
87,1
88,2
89,3
90,0
91,3
92,1
93,0
94,2
95,1
96,0
97,1
98,2
99,0
100,3
101,0
